CollectionDate,Feature1_Cat,Feature2_Cat,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Target1,Target2
2023-01-15,Low,C,4.0,7.0,5.0,3.0,5.0,4.0,5.0,5.0,0,0
2023-01-25,Low,A,7.0,5.0,3.0,9.0,5.0,1.0,3.0,4.0,1,1
2023-02-01,Medium,A,8.0,8.0,6.0,5.0,3.0,1.0,2.0,3.0,1,1
2023-02-08,Low,A,8.0,4.0,10.0,2.0,1.0,8.0,4.0,3.0,0,1
2023-02-15,Medium,A,8.0,5.0,7.0,6.0,3.0,4.0,2.0,0.0,0,0
2023-02-25,Low,B,4.0,3.0,0.0,7.0,6.0,5.0,4.0,11.0,0,0
2023-02-28,Low,A,5.0,4.0,10.0,4.0,6.0,4.0,3.0,8.0,0,0
2023-03-11,Low,A,5.0,7.0,4.0,12.0,2.0,5.0,1.0,5.0,1,1
2023-03-16,Medium,A,4.0,6.0,6.0,4.0,3.0,2.0,7.0,8.0,1,1
2023-03-23,Low,A,11.0,9.0,7.0,3.0,1.0,2.0,4.0,2.0,0,1
2023-04-01,Medium,B,5.0,1.0,11.0,5.0,3.0,2.0,4.0,4.0,0,0
2023-04-11,Medium,C,4.0,2.0,4.0,6.0,4.0,3.0,2.0,3.0,0,0
2023-04-17,Medium,B,10.0,7.0,16.0,2.0,1.0,6.0,1.0,2.0,0,1
2023-04-25,Medium,A,6.0,8.0,9.0,2.0,0.0,7.0,2.0,2.0,0,1
2023-05-02,Medium,A,3.0,5.0,6.0,4.0,3.0,6.0,3.0,5.0,1,1
2023-05-10,Medium,A,8.0,11.0,17.0,7.0,4.0,2.0,3.0,1.0,0,1
2023-05-16,Medium,B,2.0,12.0,1.0,18.0,1.0,1.0,8.0,6.0,1,0
2023-05-22,Low,C,8.0,6.0,8.0,4.0,11.0,6.0,3.0,3.0,0,0
2023-06-02,Low,A,5.0,10.0,9.0,4.0,2.0,5.0,2.0,0.0,0,1
2023-06-08,Medium,A,0.0,5.0,4.0,8.0,4.0,4.0,3.0,6.0,1,1
2023-06-15,Medium,A,0.0,6.0,1.0,18.0,2.0,3.0,3.0,5.0,1,0
2023-06-22,Medium,A,1.0,6.0,0.0,11.0,2.0,0.0,8.0,12.0,1,0
2023-06-28,Low,B,4.0,2.0,6.0,3.0,4.0,6.0,3.0,6.0,0,0
2023-07-10,Medium,A,6.0,7.0,5.0,1.0,4.0,7.0,2.0,1.0,0,1
2023-07-16,Medium,A,6.0,6.0,8.0,9.0,3.0,4.0,2.0,8.0,1,1
2023-07-24,Low,A,9.0,14.0,21.0,3.0,4.0,5.0,3.0,1.0,0,1
2023-07-30,Medium,A,8.0,12.0,17.0,0.0,1.0,3.0,1.0,1.0,0,1
2023-08-09,Low,B,8.0,3.0,7.0,3.0,2.0,6.0,5.0,2.0,0,1
2023-08-14,Low,A,6.0,8.0,18.0,2.0,1.0,4.0,4.0,0.0,0,1
2023-08-22,Low,A,12.0,5.0,11.0,1.0,4.0,8.0,1.0,0.0,0,1
2023-08-29,Low,A,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,0,0
2023-09-05,Low,B,3.0,8.0,5.0,5.0,7.0,6.0,6.0,2.0,0,0
2023-09-11,Medium,A,4.0,7.0,4.0,8.0,0.0,2.0,5.0,4.0,1,1
2023-09-21,Low,A,2.0,6.0,7.0,5.0,9.0,2.0,0.0,2.0,0,0
2023-09-30,Medium,B,8.0,7.0,8.0,2.0,6.0,11.0,5.0,6.0,0,0
2023-10-04,Low,C,1.0,3.0,2.0,2.0,2.0,6.0,8.0,5.0,0,0
2023-10-15,Medium,A,0.0,4.0,0.0,9.0,3.0,5.0,7.0,7.0,1,0
2023-10-23,Medium,A,8.0,11.0,13.0,2.0,5.0,4.0,1.0,1.0,0,1
2023-10-27,Low,A,9.0,7.0,5.0,3.0,1.0,5.0,2.0,0.0,0,1
2023-11-06,High,A,0.0,5.0,0.0,17.0,2.0,5.0,2.0,10.0,1,0
2023-11-10,Low,A,8.0,5.0,8.0,0.0,5.0,7.0,3.0,2.0,0,1
2023-11-21,Low,B,5.0,5.0,7.0,6.0,3.0,1.0,6.0,3.0,0,0
2023-11-28,Low,B,6.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,0,0
2023-12-04,High,A,10.0,5.0,8.0,4.0,0.0,11.0,3.0,2.0,0,1
2023-12-10,Medium,A,1.0,10.0,1.0,19.0,5.0,2.0,4.0,6.0,1,0
2023-12-22,High,A,0.0,7.0,0.0,10.0,3.0,5.0,3.0,6.0,1,0
2023-12-27,Medium,B,9.0,13.0,12.0,0.0,2.0,4.0,2.0,1.0,0,1
2024-01-06,Low,A,10.0,8.0,12.0,1.0,1.0,4.0,4.0,2.0,0,1
2024-01-12,Medium,B,10.0,5.0,3.0,7.0,4.0,6.0,5.0,5.0,0,0
2024-01-20,High,A,7.0,4.0,3.0,5.0,6.0,2.0,7.0,1.0,1,1
2024-01-27,Medium,A,3.0,5.0,1.0,8.0,3.0,1.0,7.0,7.0,1,1
2024-02-01,Medium,A,2.0,5.0,4.0,5.0,4.0,8.0,7.0,4.0,1,1
2024-02-09,Low,A,1.0,5.0,0.0,12.0,4.0,5.0,3.0,4.0,1,0
2024-02-18,Medium,A,3.0,6.0,9.0,6.0,3.0,3.0,3.0,8.0,1,1
2024-02-25,Low,A,6.0,9.0,7.0,0.0,4.0,11.0,3.0,2.0,0,1
2024-03-02,Medium,A,10.0,11.0,9.0,3.0,2.0,9.0,2.0,0.0,0,1
2024-03-11,Medium,B,2.0,4.0,6.0,6.0,6.0,4.0,10.0,5.0,0,0
2024-03-17,Medium,A,9.0,7.0,3.0,3.0,3.0,5.0,2.0,3.0,0,0
2024-03-27,Medium,A,8.0,6.0,10.0,2.0,3.0,1.0,3.0,4.0,0,1
2024-04-04,Medium,A,6.0,8.0,9.0,11.0,4.0,6.0,2.0,6.0,1,1
2024-04-12,Low,A,9.0,12.0,6.0,3.0,6.0,7.0,3.0,1.0,0,1
2024-04-19,Low,A,13.0,10.0,6.0,4.0,3.0,8.0,0.0,0.0,0,1
2024-04-24,High,A,5.0,0.0,4.0,2.0,4.0,6.0,4.0,6.0,0,0
2024-05-05,Medium,A,4.0,11.0,7.0,5.0,2.0,4.0,3.0,4.0,1,1
2024-05-10,Low,A,4.0,8.0,11.0,4.0,5.0,6.0,1.0,1.0,0,1
2024-05-17,Medium,A,0.0,5.0,0.0,10.0,2.0,5.0,7.0,10.0,1,0
2024-05-27,Medium,A,2.0,11.0,14.0,2.0,0.0,6.0,6.0,1.0,0,1
2024-06-01,Low,B,4.0,8.0,7.0,3.0,9.0,13.0,3.0,6.0,0,0
2024-06-07,Medium,B,4.0,2.0,4.0,4.0,8.0,6.0,7.0,5.0,0,0
2024-06-17,Low,B,13.0,10.0,8.0,1.0,2.0,6.0,4.0,1.0,0,1
2024-07-13,Medium,A,8.0,5.0,9.0,2.0,2.0,3.0,3.0,0.0,0,1
2024-07-15,Medium,B,5.0,13.0,4.0,5.0,1.0,5.0,5.0,5.0,1,1
2024-07-23,Low,A,3.0,2.0,6.0,3.0,6.0,6.0,3.0,5.0,0,0
2024-07-26,Medium,A,3.0,0.0,4.0,10.0,2.0,4.0,3.0,4.0,0,0
2024-08-04,Low,B,9.0,6.0,1.0,3.0,6.0,7.0,3.0,5.0,0,0
2024-08-09,Low,A,5.0,5.0,3.0,7.0,5.0,4.0,5.0,7.0,0,0
2024-08-13,High,A,11.0,8.0,2.0,3.0,3.0,5.0,2.0,3.0,1,1
2024-08-19,Low,B,5.0,15.0,6.0,8.0,4.0,0.0,5.0,4.0,0,0
2024-08-25,High,A,0.0,6.0,0.0,12.0,6.0,2.0,4.0,5.0,1,0
2024-09-01,Low,C,1.0,5.0,3.0,4.0,2.0,5.0,6.0,5.0,0,0
2024-09-08,Medium,A,11.0,6.0,16.0,3.0,1.0,4.0,3.0,2.0,0,1
2024-09-11,Low,A,8.0,7.0,2.0,7.0,4.0,3.0,3.0,5.0,0,0
2024-09-15,Medium,A,5.0,13.0,12.0,0.0,2.0,2.0,5.0,1.0,0,1
2024-09-25,Medium,A,4.0,5.0,11.0,1.0,2.0,6.0,5.0,1.0,0,1
2024-09-29,Low,A,7.0,11.0,14.0,0.0,2.0,5.0,1.0,0.0,0,1
2024-10-05,Medium,A,4.0,5.0,10.0,0.0,0.0,2.0,3.0,1.0,0,1
2024-10-07,Low,B,6.0,2.0,3.0,5.0,7.0,4.0,3.0,3.0,0,0
2024-10-14,Low,B,7.0,11.0,14.0,3.0,1.0,3.0,2.0,2.0,0,1
2024-10-22,Low,B,6.0,6.0,3.0,3.0,4.0,4.0,11.0,5.0,0,0
2024-10-28,Low,A,8.0,9.0,2.0,5.0,1.0,8.0,3.0,5.0,1,1
2024-11-01,Low,B,6.0,3.0,1.0,4.0,4.0,6.0,2.0,4.0,0,0
2024-11-09,Medium,C,6.0,7.0,3.0,6.0,6.0,7.0,4.0,1.0,0,0
2024-11-14,Medium,A,5.0,10.0,3.0,5.0,2.0,4.0,1.0,5.0,1,1
2024-11-17,Low,B,2.0,3.0,2.0,4.0,4.0,2.0,0.0,6.0,0,0
2024-11-25,Medium,B,6.0,3.0,2.0,7.0,5.0,5.0,4.0,2.0,0,0
2024-11-28,Medium,B,2.0,4.0,4.0,6.0,10.0,1.0,3.0,7.0,0,0
2024-12-04,Low,A,10.0,10.0,18.0,4.0,1.0,6.0,4.0,0.0,0,1
2024-12-11,Medium,B,5.0,8.0,4.0,4.0,5.0,6.0,5.0,9.0,0,0
2024-12-17,Low,C,5.0,10.0,3.0,4.0,4.0,4.0,1.0,4.0,0,0
2024-12-20,Low,B,7.0,2.0,7.0,5.0,5.0,4.0,6.0,9.0,0,0
